 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.25462E-10       0.00000E+00       0.00000E+00       0.00000E+00       0.00000E+00       0.00000E+00
      0      1       0.51258E+01      -0.41947E-03      -0.11077E+01      -0.43591E+01       0.52296E+00       0.11259E+02
      0      1      -0.70077E+01       0.44663E-03      -0.76888E+00      -0.82730E+01      -0.35559E+00       0.17844E+01
      0      1      -0.41931E+01       0.37390E-03      -0.53508E+00      -0.17826E+01       0.84178E-01      -0.47138E+01
      0      1      -0.21200E+01       0.15471E-04      -0.69026E+00      -0.89427E+01      -0.77566E+00      -0.29653E+01
      0      1      -0.21542E+01       0.10518E-03       0.13609E+00       0.38911E+00      -0.12364E+01      -0.66280E+01
      0      1       0.24948E+01      -0.32678E-03       0.13004E+01       0.32600E+01       0.15341E+00       0.60186E+01
      0      1       0.80094E-01       0.19420E-03      -0.90952E+00      -0.26428E+01       0.10199E+01       0.50748E+01
      0      1      -0.35368E+01       0.41760E-03      -0.12255E+01      -0.97427E+01      -0.10744E+01      -0.70933E+01
      0      1      -0.38480E+01       0.44752E-03       0.99707E+00       0.69143E+01       0.12264E+01       0.17134E+02
      0      1       0.30378E+01      -0.45836E-03      -0.23638E+00      -0.86912E+01       0.56203E-01      -0.31050E+01
      0      1       0.53129E+01      -0.33249E-03      -0.14321E+01      -0.13229E+02      -0.26198E+00      -0.74531E+01
      0      1       0.82195E+00      -0.40527E-03       0.12391E+01       0.72201E+01      -0.15070E+01      -0.90278E+01
      0      1      -0.75142E+00      -0.13161E-03       0.14418E+01       0.13365E+02       0.33944E+00      -0.34596E+01
      0      1       0.16037E+01      -0.23152E-04      -0.48404E+00      -0.10341E+02      -0.21506E+00      -0.49517E+01
      0      1       0.32875E+00       0.10019E-03      -0.18132E+01      -0.19525E+02       0.43161E+00       0.73314E+01
      0      1      -0.45936E+01       0.29110E-03      -0.21872E+00      -0.44852E+01      -0.14804E+01      -0.13399E+02
      0      1       0.46295E+01      -0.39812E-03      -0.11102E+00       0.71873E+01       0.17817E+01       0.14327E+02
      0      1      -0.75261E+00       0.39330E-04      -0.19171E+01      -0.21884E+02      -0.28836E+00      -0.11502E+01
      0      1      -0.31831E+01       0.34223E-03      -0.19296E+01      -0.19951E+02      -0.30956E+00       0.21951E+01
      0      1      -0.26591E+01       0.32114E-03      -0.44905E+00      -0.27476E+01      -0.87471E+00       0.56607E+00
      0      1       0.63561E+01      -0.36226E-03      -0.16383E+01      -0.13485E+02       0.39092E+00       0.78939E+00
      0      1      -0.26006E+01       0.36178E-03       0.57080E+00       0.73803E+01       0.72947E+00       0.78519E+00
      0      1       0.18266E+01      -0.29672E-03       0.30200E+00      -0.33678E+01      -0.16855E+01      -0.13766E+02
      0      1      -0.94496E+00       0.28687E-04       0.10139E+01       0.48490E+01       0.52556E+00       0.11477E+02
      0      1       0.19291E+01      -0.30376E-03       0.82485E+00       0.81149E+01       0.97275E+00       0.14881E+02
      0      1      -0.19639E+01      -0.90672E-04       0.16578E+01       0.12491E+02      -0.78065E+00      -0.86485E+01
