       z[cm]          X-avg[cm]        X'-avg[mrad]       Y-avg[cm]        Y'-avg[mrad]      Phi-avg[deg]      W-avg[MeV/u]       X-rms[cm]        X'-rms[mrad]       Y-rms[cm]        Y'-rms[mrad]      Phi-rms[deg]      dW/W-rms[%]        X-max[cm]        X'-max[mrad]       Y-max[cm]        Y'-max[mrad]      Phi-max[deg]      dW/W-max[%]      X-emi[cm*mrad]    Y-emi[cm*mrad]    Z-emi[keV/u*ns] 
  0.000000000E+00   0.552909168E-05  -0.848707377E-02  -0.104097184E-04  -0.312242056E-02  -0.122373646E-09   0.200000002E+03   0.149603891E-02   0.120294933E+01   0.149883140E-02   0.120823628E+01   0.350999369E-05   0.356330152E-04   0.410993402E-02   0.320851369E+01   0.401562958E-02   0.321498198E+01   0.956387646E-05   0.929112657E-04   0.124093212E-02   0.124877193E-02   0.172617444E-07
  0.000000000E+00   0.552909168E-05  -0.848707377E-02  -0.104097184E-04  -0.312242056E-02  -0.122373646E-09   0.200000002E+03   0.149603891E-02   0.120294933E+01   0.149883140E-02   0.120823628E+01   0.350999369E-05   0.356330152E-04   0.410993402E-02   0.320851369E+01   0.401562958E-02   0.321498198E+01   0.956387646E-05   0.929112657E-04   0.124093212E-02   0.124877193E-02   0.172617444E-07
  0.000000000E+00   0.552853883E-09  -0.848622515E-06  -0.104086775E-08  -0.312210835E-06  -0.122361410E-13   0.200000000E+03   0.149603891E-02   0.120294932E+01   0.149883140E-02   0.120823628E+01   0.350999369E-05   0.356330142E-04   0.411546312E-02   0.321329639E+01   0.400521986E-02   0.321728962E+01   0.955686497E-05   0.937516343E-04   0.124093212E-02   0.124877193E-02   0.172617439E-07
  0.000000000E+00   0.552853883E-09  -0.848622515E-06  -0.104086775E-08  -0.312210835E-06  -0.122361410E-13   0.200000000E+03   0.149603891E-02   0.120294932E+01   0.149883140E-02   0.120823628E+01   0.350999369E-05   0.356330142E-04   0.411546312E-02   0.321329639E+01   0.400521986E-02   0.321728962E+01   0.955686497E-05   0.937516343E-04   0.124093212E-02   0.124877193E-02   0.172617439E-07
  0.000000000E+00   0.552853883E-09  -0.848622515E-06  -0.104086775E-08  -0.312210835E-06  -0.122361410E-13   0.200000000E+03   0.149603891E-02   0.120294932E+01   0.149883140E-02   0.120823628E+01   0.350999369E-05   0.356330142E-04   0.411546312E-02   0.321329639E+01   0.400521986E-02   0.321728962E+01   0.955686497E-05   0.937516344E-04   0.124093212E-02   0.124877193E-02   0.172617439E-07
  0.000000000E+00   0.552853883E-09  -0.848622515E-06  -0.104086775E-08  -0.312210835E-06  -0.122361410E-13   0.200000000E+03   0.149603891E-02   0.120294932E+01   0.149883140E-02   0.120823628E+01   0.350999369E-05   0.356330142E-04   0.411546312E-02   0.321329639E+01   0.400521986E-02   0.321728962E+01   0.955686497E-05   0.937516344E-04   0.124093212E-02   0.124877193E-02   0.172617439E-07
  0.000000000E+00   0.552853883E-09  -0.848622515E-06  -0.104086775E-08  -0.312210835E-06  -0.122361410E-13   0.200000000E+03   0.149603891E-02   0.120294932E+01   0.149883140E-02   0.120823628E+01   0.350999369E-05   0.356330142E-04   0.411546312E-02   0.321329639E+01   0.400521986E-02   0.321728962E+01   0.955686497E-05   0.937516344E-04   0.124093212E-02   0.124877193E-02   0.172617439E-07
  0.500000000E+02  -0.418782718E-07  -0.848622515E-06  -0.166514095E-07  -0.312210835E-06   0.107990799E-05   0.200000000E+03   0.601498680E-01   0.120294932E+01   0.604233540E-01   0.120823628E+01   0.485206484E-04   0.356330142E-04   0.161523864E+00   0.321329639E+01   0.160756068E+00   0.321728962E+01   0.235080086E-03   0.937516344E-04   0.124093212E-02   0.124877193E-02   0.236902251E-06
  0.100000000E+03  -0.843093976E-07  -0.848622515E-06  -0.322619512E-07  -0.312210835E-06   0.215981599E-05   0.200000000E+03   0.120288031E+00   0.120294932E+01   0.120825873E+00   0.120823628E+01   0.968700940E-04   0.356330142E-04   0.322188684E+00   0.321329639E+01   0.321620549E+00   0.321728962E+01   0.469376095E-03   0.937516344E-04   0.124093212E-02   0.124877193E-02   0.472983189E-06
  0.100000000E+03  -0.843093976E-07  -0.848622515E-06  -0.322619512E-07  -0.312210835E-06   0.215981599E-05   0.200000000E+03   0.120288031E+00   0.120294932E+01   0.120825873E+00   0.120823628E+01   0.968700940E-04   0.356330142E-04   0.322188684E+00   0.321329639E+01   0.321620549E+00   0.321728962E+01   0.469376095E-03   0.937516344E-04   0.124093212E-02   0.124877193E-02   0.472983189E-06
  0.138033825E+03  -0.116585758E-06  -0.848622515E-06  -0.441365234E-07  -0.312210835E-06   0.298127663E-05   0.200000000E+03   0.166038232E+00   0.120294932E+01   0.166777158E+00   0.120823628E+01   0.133679169E-03   0.356330142E-04   0.444402637E+00   0.321329639E+01   0.443986379E+00   0.321728962E+01   0.647599564E-03   0.937516344E-04   0.124093212E-02   0.124877193E-02   0.652716932E-06
  0.176067650E+03  -0.148862118E-06  -0.848622515E-06  -0.560110957E-07  -0.312210835E-06   0.380273727E-05   0.200000000E+03   0.211789540E+00   0.120294932E+01   0.212729551E+00   0.120823628E+01   0.170495812E-03   0.356330142E-04   0.566616589E+00   0.321329639E+01   0.566352210E+00   0.321728962E+01   0.825823033E-03   0.937516344E-04   0.124093212E-02   0.124877193E-02   0.832488163E-06
  0.176067650E+03  -0.148862118E-06  -0.848622515E-06  -0.560110957E-07  -0.312210835E-06   0.380273727E-05   0.200000000E+03   0.211789540E+00   0.120294932E+01   0.212729551E+00   0.120823628E+01   0.170495812E-03   0.356330142E-04   0.566616589E+00   0.321329639E+01   0.566352210E+00   0.321728962E+01   0.825823033E-03   0.937516344E-04   0.124093212E-02   0.124877193E-02   0.832488163E-06
  0.214101475E+03  -0.181138478E-06  -0.848622515E-06  -0.678856679E-07  -0.312210835E-06   0.462419791E-05   0.200000000E+03   0.257541366E+00   0.120294932E+01   0.258682460E+00   0.120823628E+01   0.207315992E-03   0.356330142E-04   0.688830542E+00   0.321329639E+01   0.688718040E+00   0.321728962E+01   0.100404650E-02   0.937516344E-04   0.124093212E-02   0.124877193E-02   0.101227691E-05
  0.252135300E+03  -0.213414838E-06  -0.848622515E-06  -0.797602402E-07  -0.312210835E-06   0.544565855E-05   0.200000000E+03   0.303293474E+00   0.120294932E+01   0.304635653E+00   0.120823628E+01   0.244138107E-03   0.356330142E-04   0.811044495E+00   0.321329639E+01   0.811083870E+00   0.321728962E+01   0.118226997E-02   0.937516344E-04   0.124093212E-02   0.124877193E-02   0.119207525E-05
  0.252135300E+03  -0.213414838E-06  -0.848622515E-06  -0.797602402E-07  -0.312210835E-06   0.544565855E-05   0.200000000E+03   0.303293474E+00   0.120294932E+01   0.304635653E+00   0.120823628E+01   0.244138107E-03   0.356330142E-04   0.811044495E+00   0.321329639E+01   0.811083870E+00   0.321728962E+01   0.118226997E-02   0.937516344E-04   0.124093212E-02   0.124877193E-02   0.119207525E-05
  0.302135300E+03  -0.255845964E-06  -0.848622515E-06  -0.953707819E-07  -0.312210835E-06   0.652556656E-05   0.200000000E+03   0.363440330E+00   0.120294932E+01   0.365046857E+00   0.120823628E+01   0.292546887E-03   0.356330142E-04   0.971709315E+00   0.321329639E+01   0.971948351E+00   0.321728962E+01   0.141656598E-02   0.937516344E-04   0.124093212E-02   0.124877193E-02   0.142845011E-05
  0.352135300E+03  -0.298277090E-06  -0.848622515E-06  -0.110981324E-06  -0.312210835E-06   0.760547456E-05   0.200000000E+03   0.423587359E+00   0.120294932E+01   0.425458234E+00   0.120823628E+01   0.340956853E-03   0.356330142E-04   0.113237413E+01   0.321329639E+01   0.113281283E+01   0.321728962E+01   0.165086199E-02   0.937516344E-04   0.124093212E-02   0.124877193E-02   0.166483086E-05
