 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.72881E-02      -0.30464E-06       0.10476E-05      -0.10476E-04      -0.36222E-05      -0.20799E-04
      0      1      -0.29788E+01      -0.21695E-03      -0.11969E+01       0.15761E+02      -0.15751E+01      -0.10147E+02
      0      1      -0.43124E+01      -0.37362E-03       0.23368E+00      -0.30624E+01      -0.17189E+01      -0.69389E+01
      0      1      -0.42399E+01      -0.43752E-03      -0.19397E+01       0.24322E+02      -0.11141E+01      -0.72503E+01
      0      1       0.11081E+02       0.85566E-03       0.17735E+01      -0.20998E+02      -0.14755E+01      -0.67401E+01
      0      1      -0.51534E+01      -0.42898E-03       0.65334E+00      -0.64378E+01      -0.10373E+01      -0.68175E+01
      0      1      -0.38542E+01      -0.29212E-03      -0.58491E-01       0.62340E+00      -0.28037E+01      -0.17255E+02
      0      1      -0.24843E+01      -0.26953E-03      -0.15558E+01       0.18859E+02      -0.15753E+01      -0.10772E+02
      0      1      -0.19271E+01      -0.20627E-03      -0.16336E+01       0.21675E+02      -0.50898E+00      -0.37757E+01
      0      1       0.10463E+02       0.55847E-03       0.11135E+01      -0.12446E+02      -0.20448E+01      -0.85922E+01
      0      1       0.68125E+01       0.46217E-03       0.15620E+01      -0.18093E+02      -0.68309E+00      -0.14481E+01
      0      1      -0.74458E+01      -0.41439E-03      -0.19185E+01       0.26805E+02       0.51782E+00       0.71826E+00
      0      1      -0.12667E+02      -0.77629E-03      -0.93615E+00       0.11940E+02      -0.19464E+01      -0.86344E+01
      0      1      -0.81208E+01      -0.46478E-03       0.29859E+00      -0.39956E+01       0.18050E+01       0.81462E+01
      0      1      -0.92189E+01      -0.72647E-03       0.10026E+00      -0.20514E+01       0.48537E+00      -0.81776E-01
      0      1      -0.25977E+01      -0.10197E-03      -0.90363E-01       0.69806E+00       0.12391E+01       0.51454E+01
      0      1      -0.48713E+01      -0.40828E-03      -0.16138E-01      -0.18083E+00       0.82604E+00       0.71933E+01
      0      1       0.14117E+02       0.82074E-03      -0.34506E+00       0.44206E+01      -0.27553E+01      -0.16080E+02
      0      1       0.11871E+02       0.78906E-03      -0.19031E+01       0.21196E+02       0.13816E+01       0.71098E+01
      0      1      -0.25916E+01      -0.29165E-03      -0.75353E+00       0.99703E+01      -0.45833E+00      -0.42970E+01
      0      1       0.64700E+01       0.42289E-03      -0.12466E+01       0.15751E+02       0.51319E+00       0.39378E+01
      0      1       0.50730E+01       0.37740E-03       0.49702E+00      -0.77658E+01       0.21070E+01       0.11810E+02
      0      1      -0.22520E+02      -0.52747E-03       0.18006E+01      -0.26152E+02      -0.98903E+00      -0.48941E+01
      0      1       0.39282E+01       0.31823E-03      -0.12325E+01       0.13164E+02       0.13372E+01       0.65337E+01
      0      1      -0.83432E+00       0.10433E-04       0.31724E+00      -0.37682E+01       0.24348E+01       0.12262E+02
      0      1       0.10416E+02       0.60201E-03       0.10589E+01      -0.11707E+02       0.88722E+00       0.63405E+01
      0      1       0.35336E+01       0.29975E-03       0.13614E+00      -0.18071E+01       0.19510E+01       0.12155E+02
      0      1       0.11045E+02       0.80200E-03      -0.72301E+00       0.70546E+01       0.26569E+01       0.14730E+02
      0      1       0.36971E+01       0.32845E-03       0.13313E+01      -0.15523E+02       0.29203E+01       0.15042E+02
      0      1      -0.85783E+00       0.19046E-05      -0.95430E+00       0.10531E+02      -0.34761E+00       0.74580E+00
      0      1      -0.53362E+01      -0.41008E-03       0.64441E+00      -0.53405E+01       0.34190E+00       0.28945E+01
      0      1      -0.30367E+02      -0.30278E-03       0.13459E+01      -0.16972E+02       0.11432E+01       0.86249E+01
      0      1      -0.33412E+01      -0.29353E-03      -0.17203E+01       0.22091E+02       0.23731E+01       0.13370E+02
      0      1      -0.78269E-01      -0.10308E-04       0.10900E+01      -0.13178E+02      -0.91875E+00      -0.70921E+01
      0      1      -0.26103E+01      -0.35486E-03      -0.48484E-01       0.49954E-01       0.58923E+00       0.26448E+01
      0      1       0.41201E+01       0.17700E-03       0.16952E+01      -0.22139E+02      -0.14773E+01      -0.10112E+02
      0      1       0.34258E+01       0.30013E-03      -0.76352E+00       0.94486E+01       0.28474E+01       0.13944E+02
      0      1       0.10643E+02       0.62384E-03       0.20080E+01      -0.23138E+02      -0.70493E+00      -0.31114E+01
      0      1      -0.11929E+02      -0.80224E-03       0.18706E+00      -0.38998E+01       0.88897E+00       0.58135E+01
      0      1       0.11628E+02       0.62153E-03       0.42710E+00      -0.65781E+01      -0.15622E+00       0.73959E+00
      0      1      -0.85760E+01      -0.77039E-03      -0.19937E+00       0.37997E+01       0.10122E+01       0.31627E+01
      0      1       0.11686E+02       0.73275E-03      -0.18280E+01       0.21952E+02      -0.41517E+00      -0.47824E+01
      0      1       0.10637E+02       0.78489E-03       0.18886E+01      -0.22824E+02       0.23206E+01       0.12865E+02
      0      1       0.38889E+01       0.38109E-03      -0.82879E-01       0.57681E+00       0.83311E+00       0.52287E+01
      0      1       0.10696E+02       0.72875E-03       0.17434E+01      -0.19687E+02       0.57158E+00       0.17875E+01
      0      1      -0.88309E+01      -0.79630E-03      -0.55769E+00       0.83993E+01       0.18915E+01       0.11083E+02
      0      1      -0.14983E+02      -0.74348E-03      -0.19600E+00       0.82248E+00       0.80147E+00       0.63760E+01
      0      1       0.10586E+02       0.49294E-03       0.15376E+01      -0.19043E+02      -0.20451E+01      -0.10434E+02
      0      1      -0.26288E+01      -0.36020E-03       0.14319E+01      -0.17669E+02       0.44002E+00       0.29933E+01
      0      1      -0.15869E+01      -0.91472E-04      -0.19458E+00       0.23188E+01       0.22279E+01       0.13543E+02
      0      1       0.69369E+01       0.46892E-03       0.12226E+01      -0.15790E+02      -0.11399E+01      -0.69556E+01
      0      1       0.11379E+02       0.75230E-03       0.27050E+00      -0.26876E+01       0.20678E+01       0.93220E+01
      0      1      -0.29696E+01      -0.39451E-03      -0.12962E+01       0.14530E+02      -0.93239E+00      -0.39208E+01
      0      1      -0.23911E+02      -0.48561E-03      -0.14384E+01       0.18479E+02      -0.11948E+01      -0.76072E+01
      0      1       0.69997E+01       0.48352E-03      -0.15899E+01       0.16604E+02      -0.26440E+01      -0.14129E+02
      0      1       0.97197E+00       0.71014E-05      -0.21469E+00       0.16355E+01      -0.13444E+01      -0.88309E+01
      0      1      -0.42036E+01      -0.34816E-03       0.73670E+00      -0.77188E+01      -0.23663E+01      -0.10516E+02
      0      1       0.88334E+00      -0.16520E-04      -0.15607E-01      -0.17571E+01       0.64525E+00       0.27662E+01
      0      1      -0.15118E+02      -0.73225E-03       0.10454E+00      -0.21529E+01       0.90282E+00       0.52849E+01
      0      1       0.32618E+01       0.22986E-03      -0.17733E+01       0.21886E+02      -0.43032E+00      -0.39266E+01
      0      1      -0.40679E+01      -0.40836E-03       0.11673E+01      -0.13676E+02      -0.25284E+01      -0.14165E+02
      0      1       0.62352E+00      -0.94416E-05      -0.16884E+01       0.22045E+02      -0.19629E+01      -0.13068E+02
      0      1      -0.88662E+01      -0.85005E-03       0.10493E+01      -0.11447E+02       0.70658E+00       0.26961E+01
      0      1       0.62708E+01       0.40058E-03      -0.18155E+01       0.21911E+02       0.21221E+00       0.69328E+00
      0      1       0.10834E+02       0.63159E-03      -0.11632E+01       0.12278E+02       0.31186E+00       0.29077E+01
      0      1       0.37190E+01       0.22727E-03       0.15654E+01      -0.19792E+02       0.12855E+01       0.77727E+01
      0      1       0.32568E+01       0.21579E-03       0.97257E+00      -0.97951E+01      -0.56259E+00      -0.35707E+01
      0      1       0.26939E+02       0.50186E-03      -0.10912E+01       0.14739E+02      -0.10337E+01      -0.54250E+01
      0      1      -0.68102E+01      -0.48087E-03      -0.17246E+01       0.20997E+02      -0.21066E+01      -0.13140E+02
      0      1       0.58620E+01       0.45162E-03      -0.62695E+00       0.62941E+01       0.28191E+00       0.29136E+01
      0      1      -0.85418E+01      -0.75786E-03       0.10515E+01      -0.15487E+02      -0.12677E+01      -0.78889E+01
      0      1      -0.10768E+02      -0.77657E-03      -0.15051E+01       0.19657E+02       0.10904E+01       0.59093E+01
      0      1       0.10859E+02       0.69563E-03       0.34703E+00      -0.33805E+01       0.53527E+00       0.34768E+00
      0      1      -0.83575E+01      -0.76303E-03      -0.15605E+01       0.21694E+02       0.67254E+00       0.19066E+01
      0      1       0.36701E+01       0.15172E-03       0.73214E+00      -0.80374E+01       0.16539E+01       0.88698E+01
      0      1      -0.12216E+01      -0.17587E-03      -0.17145E+01       0.22388E+02       0.80876E+00       0.18136E+01
      0      1      -0.84309E+01      -0.46831E-03       0.12816E+01      -0.16799E+02       0.11235E+01       0.81257E+01
      0      1       0.29694E+02       0.40905E-03      -0.75369E+00       0.76932E+01       0.19862E+01       0.10529E+02
      0      1       0.16300E+02       0.79371E-03       0.47082E+00      -0.49759E+01       0.19672E+01       0.95229E+01
      0      1      -0.25684E+01      -0.23821E-03       0.18040E+01      -0.21013E+02      -0.24135E+01      -0.14227E+02
      0      1      -0.66841E+01      -0.39293E-03      -0.23989E+00       0.47851E+01       0.17073E+01       0.10813E+02
      0      1      -0.11480E+02      -0.83135E-03       0.59552E+00      -0.75624E+01      -0.10050E+01      -0.27282E+01
      0      1      -0.12457E+02      -0.76304E-03      -0.14829E+01       0.17823E+02       0.20128E+01       0.11395E+02
      0      1      -0.27713E+01      -0.29113E-03      -0.89651E+00       0.12629E+02       0.10032E+01       0.60601E+01
      0      1       0.21251E+01       0.97142E-04      -0.11110E+01       0.12802E+02       0.27458E+00       0.20148E+01
      0      1       0.22166E+02       0.63488E-03      -0.31828E+00       0.43066E+01       0.19211E+01       0.95613E+01
      0      1       0.18261E+00      -0.11937E-04       0.56376E+00      -0.59610E+01       0.57891E+00       0.57636E+01
      0      1      -0.21822E+01      -0.23709E-03      -0.16718E+01       0.20573E+02       0.65573E+00       0.44604E+01
      0      1       0.10847E+02       0.70713E-03      -0.90395E+00       0.10973E+02       0.13182E+01       0.46142E+01
      0      1       0.64533E+01       0.40500E-03       0.17988E+01      -0.23066E+02       0.13645E+00       0.31481E+01
      0      1      -0.70104E+01      -0.40099E-03      -0.17434E+01       0.24386E+02      -0.16721E+01      -0.94024E+01
      0      1      -0.83457E+01      -0.78746E-03       0.94093E+00      -0.13568E+02      -0.13744E+01      -0.62965E+01
      0      1      -0.93885E+01      -0.81579E-03      -0.12413E+01       0.18164E+02      -0.61285E+00      -0.21080E+01
      0      1       0.88860E+01       0.45870E-03       0.56550E+00      -0.58673E+01      -0.16118E+01      -0.10379E+02
      0      1      -0.16610E+02      -0.68993E-03      -0.77398E+00       0.86910E+01      -0.26934E+00      -0.14924E+00
      0      1      -0.11571E+02      -0.81041E-03      -0.10627E+01       0.11147E+02       0.22894E+01       0.12363E+02
      0      1       0.30352E+01       0.58495E-04      -0.16376E+01       0.19525E+02      -0.16312E-01       0.14278E+01
      0      1       0.10810E+02       0.73386E-03      -0.10925E+01       0.12862E+02       0.22504E+01       0.13478E+02
      0      1      -0.14063E+01      -0.11953E-03       0.89748E+00      -0.94176E+01       0.21789E+01       0.11839E+02
      0      1       0.53398E+01       0.37663E-03      -0.62518E+00       0.71339E+01       0.42704E+00       0.53652E+00
      0      1       0.10639E+02       0.67645E-03      -0.18998E+01       0.22489E+02      -0.13983E+00      -0.59169E+00
      0      1      -0.31559E+02      -0.25597E-03       0.13031E+01      -0.15498E+02       0.74458E+00       0.26542E+01
      0      1      -0.17670E+01      -0.24801E-03       0.18237E+01      -0.25101E+02      -0.55381E+00      -0.20585E+01
      0      1      -0.95480E+01      -0.83646E-03       0.18995E+01      -0.25017E+02       0.57018E+00       0.20937E+01
      0      1      -0.19566E+02      -0.61292E-03      -0.80426E-01       0.13192E+01       0.83670E+00       0.27418E+01
      0      1      -0.54093E+00       0.18759E-04      -0.12806E+01       0.15641E+02      -0.18090E+00       0.73512E+00
      0      1       0.10987E+02       0.51948E-03      -0.66740E-02      -0.16404E+01      -0.25670E+01      -0.12112E+02
      0      1      -0.80480E-01       0.36553E-04       0.68678E+00      -0.66887E+01       0.10905E+01       0.61696E+01
      0      1       0.10310E+02       0.53409E-03       0.12197E+01      -0.12204E+02       0.27122E+01       0.14684E+02
      0      1       0.80360E+01       0.44261E-03      -0.14099E+01       0.17795E+02      -0.29209E+01      -0.15494E+02
      0      1      -0.95625E+01      -0.50062E-03      -0.91221E+00       0.12906E+02      -0.11641E+01      -0.47142E+01
      0      1       0.88436E+01       0.49095E-03       0.57231E+00      -0.60910E+01      -0.23014E+01      -0.11025E+02
      0      1       0.12985E+02       0.86149E-03       0.90215E+00      -0.96179E+01      -0.13502E+01      -0.65594E+01
      0      1       0.10988E+02       0.55319E-03       0.14099E+01      -0.15136E+02       0.23627E+01       0.13807E+02
      0      1       0.24945E+01       0.18758E-03       0.15465E+01      -0.19080E+02       0.30832E+00       0.23124E+01
