n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
   0  entry  0.000000E+00   0.305000E-01  -0.131073E-06   0.499497E+00   0.497331E+00   0.120520E+01   0.119143E+01   0.102766E+03   0.179990E+03   0.577479E-03      0.803075E-01        0.108684E+00        0.119828E+00        0.799979E-01        0.108014E+00        0.119221E+00        0.165854E+01        0.216399E+01        0.255188E+01     0.376788E-06   0.182435E-05  -0.114893E-06   0.707409E-05   0.809242E-02   0.684029E+00   0.100615E+01   0.100565E+00   0.990408E+00   0.100081E+00  -0.126414E-01      0.177970E+04     0.000000E+00    0.100010E+05
   1  drift  0.464200E+00   0.305000E-01  -0.130958E-06   0.353162E+00   0.354262E+00   0.846784E+00   0.844786E+00   0.102763E+03   0.179994E+03   0.577479E-03      0.803075E-01        0.108684E+00        0.119828E+00        0.799979E-01        0.108014E+00        0.119221E+00        0.165849E+01        0.216250E+01        0.255917E+01     0.461475E-06   0.182435E-05   0.213486E-06   0.707409E-05   0.809242E-02   0.761290E+00   0.772715E-01   0.502725E-01   0.716131E-01   0.507818E-01  -0.130616E-01      0.177966E+04     0.000000E+00    0.100010E+05
   2  mhb4   0.704200E+00   0.304989E-01   0.640999E-01   0.379793E+00   0.381103E+00   0.940405E+00   0.933857E+00   0.101128E+03   0.179978E+03   0.163735E-01      0.805602E-01        0.110103E+00        0.148187E+00        0.803372E-01        0.110058E+00        0.147137E+00        0.188203E+02        0.933225E+02        0.124763E+03     0.562638E-04   0.537803E-02   0.332440E-04   0.508337E-02   0.808968E-02   0.736488E+00  -0.403936E+00   0.579383E-01  -0.403057E+00   0.585005E-01  -0.224467E+01      0.151774E+03     0.000000E+00    0.100010E+05
   3  scrch  0.704200E+00   0.304989E-01   0.640999E-01   0.379793E+00   0.381103E+00   0.940405E+00   0.933857E+00   0.101128E+03   0.179978E+03   0.163735E-01      0.805602E-01        0.110103E+00        0.148187E+00        0.803372E-01        0.110058E+00        0.147137E+00        0.188203E+02        0.933225E+02        0.124763E+03     0.562638E-04   0.537803E-02   0.332440E-04   0.508337E-02   0.808968E-02   0.736488E+00  -0.403936E+00   0.579383E-01  -0.403057E+00   0.585005E-01  -0.224467E+01      0.151774E+03     0.000000E+00    0.100010E+05
   4  drift  0.113120E+01   0.304989E-01   0.640999E-01   0.566793E+00   0.566256E+00   0.141171E+01   0.140291E+01   0.953966E+02   0.179987E+03   0.163735E-01      0.805602E-01        0.110103E+00        0.148187E+00        0.803372E-01        0.110058E+00        0.147137E+00        0.185247E+02        0.871603E+02        0.115751E+03     0.285906E-03   0.537803E-02   0.250304E-03   0.508337E-02   0.808968E-02   0.168551E+01  -0.126118E+01   0.129039E+00  -0.125154E+01   0.129152E+00  -0.213222E+01      0.137214E+03     0.000000E+00    0.100010E+05
   5  eq3d   0.130620E+01   0.304990E-01   0.644489E-01   0.605326E+00   0.731606E+00   0.149400E+01   0.180661E+01   0.930606E+02   0.179997E+03   0.163734E-01      0.806577E-01        0.110706E+00        0.148201E+00        0.803953E-01        0.110962E+00        0.147164E+00        0.184259E+02        0.853150E+02        0.112701E+03     0.351484E-03   0.155326E-02   0.347633E-03   0.597440E-02   0.808968E-02   0.210167E+01   0.559855E+00   0.147002E+00  -0.434513E+01   0.215434E+00  -0.208201E+01      0.131276E+03     0.000000E+00    0.100010E+05
   6  eq3d   0.148120E+01   0.304990E-01   0.643419E-01   0.596241E+00   0.954635E+00   0.145461E+01   0.234910E+01   0.907366E+02   0.179936E+03   0.163734E-01      0.806155E-01        0.110272E+00        0.148215E+00        0.803484E-01        0.110017E+00        0.146885E+00        0.183722E+02        0.842645E+02        0.110150E+03     0.392474E-03   0.296483E-02   0.449311E-03   0.560325E-02   0.808968E-02   0.236425E+01  -0.216835E+00   0.142697E+00  -0.428069E+01   0.367019E+00  -0.202517E+01      0.125165E+03     0.000000E+00    0.100010E+05
   7  drift  0.237220E+01   0.305024E-01   0.757995E-01   0.799158E+00   0.156470E+01   0.185805E+01   0.299980E+01   0.800304E+02   0.179949E+03   0.164302E-01      0.862616E-01        0.111129E+00        0.147582E+00        0.665068E-01        0.922936E-01        0.131848E+00        0.186601E+02        0.797832E+02        0.102946E+03     0.258204E-02   0.473069E-02   0.107040E-01   0.533431E-01   0.808968E-02   0.361023E+01  -0.875159E+00   0.239574E+00  -0.690472E+01   0.119120E+01  -0.169520E+01      0.958685E+02     0.134600E+04    0.865500E+04
   8  eq3d   0.254720E+01   0.305029E-01   0.771396E-01   0.805971E+00   0.161790E+01   0.186362E+01   0.300575E+01   0.781683E+02   0.179991E+03   0.164715E-01      0.888674E-01        0.113119E+00        0.145398E+00        0.609956E-01        0.968551E-01        0.150163E+00        0.188069E+02        0.792548E+02        0.100577E+03     0.357114E-02  -0.354021E-01   0.414928E-02   0.476002E-01   0.808968E-02   0.365849E+01   0.139047E+01   0.236530E+00  -0.192792E+02   0.138867E+01  -0.162985E+01      0.907457E+02     0.843000E+03    0.781200E+04
   9  eq3d   0.272220E+01   0.305024E-01   0.755126E-01   0.964758E+00   0.143768E+01   0.225978E+01   0.263334E+01   0.760998E+02   0.179937E+03   0.164583E-01      0.898892E-01        0.116301E+00        0.145194E+00        0.743611E-01        0.166729E+00        0.349537E+00        0.189019E+02        0.786444E+02        0.101346E+03     0.614248E-02   0.119058E+00   0.117298E-01  -0.208309E+00   0.808968E-02   0.404738E+01  -0.679729E+01   0.335058E+00   0.167134E+02   0.899433E+00  -0.155731E+01      0.855744E+02     0.282000E+03    0.753000E+04
